ISO-3166-2;ISO-3166-3;ccTLD
AL;ALB;.al
AD;AND;.ad
AT;AUT;.at
AX;ALA;.ax
BY;BLR;.by
BE;BEL;.be
BA;BIH;.ba
BG;BGR;.bg
HR;HRV;.hr
CY;CYP;.cy
CZ;CZE;.cz
DK;DNK;.dk
EE;EST;.ee
FO;FRO;.fo
FI;FIN;.fi
FR;FRA;.fr
DE;DEU;.de
GI;GIB;.gi
GR;GRC;.gr
HU;HUN;.hu
IS;ISL;.is
IE;IRL;.ie
IT;ITA;.it
LV;LVA;.lv
LI;LIE;.li
LT;LTU;.lt
LU;LUX;.lu
MK;MKD;.mk
MT;MLT;.mt
MD;MDA;.md
MC;MCO;.mc
NL;NLD;.nl
NO;NOR;.no
PL;POL;.pl
PT;PRT;.pt
RO;ROU;.ro
RU;RUS;.ru
SM;SMR;.sm
RS;SRB;.rs
SK;SVK;.sk
SI;SVN;.si
ES;ESP;.es
SE;SWE;.se
CH;CHE;.ch
UA;UKR;.ua
GB;GBR;.uk
VA;VAT;.va
RS;RSB;.rs
IM;IMN;.im
RS;XKX;
ME;MNE;.me
XK;XXK;.xk
